,a,p,q,num_vol,rolling,distance_threshold,retrace_threshold,offset_threshold,duration,average_holding_duration,profit,return,max_drawDown,caimar_ratio,trade_times,win_rate,profit_factor,sharp_ratio
98,0.1,1,1,1,20,0.049999999999999996,0.01,0.01,361,6.555555555555555,159312.109375,0.15931210937500007,0.2710592037016908,0.5877391625127331,27,0.4074074074074074,1.0997574754932538,0.03734327670863572
99,0.1,1,1,1,20,0.049999999999999996,0.01,0.025,361,13.266666666666667,-123673.828125,-0.12367382812500005,0.42291873462298946,-0.2924292966951416,15,0.3333333333333333,0.6999357920263356,-0.019468291577351547
100,0.1,1,1,1,20,0.049999999999999996,0.01,0.04,361,39.333333333333336,622883.59375,0.6228835937499999,0.1550695748417521,4.016800809479553,6,0.6666666666666666,7.623326589601206,0.10523544479692151
101,0.1,1,1,1,20,0.049999999999999996,0.01,0.05500000000000001,361,47.8,475431.8359375,0.47543183593750005,0.19036165660210613,2.497518903879091,5,0.8,5.909970167557875,0.07941712173568584
102,0.1,1,1,1,20,0.049999999999999996,0.01,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
103,0.1,1,1,1,20,0.049999999999999996,0.01,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
104,0.1,1,1,1,20,0.049999999999999996,0.01,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
105,0.1,1,1,1,20,0.049999999999999996,0.03,0.01,361,6.318181818181818,122406.25,0.12240625000000005,0.25075104557068906,0.4881584829343915,22,0.45454545454545453,1.2734938463205085,0.03059791393946283
106,0.1,1,1,1,20,0.049999999999999996,0.03,0.025,361,12.0,-51521.875,-0.05152187500000005,0.29639986884852565,-0.17382556611835132,13,0.38461538461538464,0.930866070141921,-0.007207224738918999
107,0.1,1,1,1,20,0.049999999999999996,0.03,0.04,361,39.0,566206.4453125,0.5662064453125,0.15885199949331963,3.5643646105714346,6,0.6666666666666666,7.059828266793607,0.09621771462408751
108,0.1,1,1,1,20,0.049999999999999996,0.03,0.05500000000000001,361,47.6,446937.890625,0.4469378906249999,0.19429483092409072,2.3003076741635735,5,0.8,5.6157020709241605,0.0748890873219947
109,0.1,1,1,1,20,0.049999999999999996,0.03,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
110,0.1,1,1,1,20,0.049999999999999996,0.03,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
111,0.1,1,1,1,20,0.049999999999999996,0.03,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
112,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.01,361,6.55,225154.1015625,0.22515410156250004,0.19915030218953522,1.1305737379610727,20,0.5,1.6220574834323134,0.05207184790415635
113,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.025,361,13.454545454545455,48480.2734375,0.048480273437500054,0.2287794049977021,0.21190838151706443,11,0.45454545454545453,1.1641553117825807,0.012551848451142157
114,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.04,361,46.2,564262.109375,0.564262109375,0.1550695748417521,3.6387673723283713,5,0.6,5.80648912683611,0.09570829459570938
115,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.05500000000000001,361,47.2,425600.1953125,0.42560019531249993,0.19036165660210613,2.2357453854380416,5,0.6,4.625341268111542,0.07126982773998278
116,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
117,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
118,0.1,1,1,1,20,0.049999999999999996,0.049999999999999996,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
119,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.01,361,6.315789473684211,146346.09375,0.14634609375000007,0.19860805868808196,0.7368587897021823,19,0.47368421052631576,1.3615002250656019,0.03659273323552564
120,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.025,361,13.7,-30327.734375,-0.030327734375000026,0.28067762947332364,-0.10805184022648465,10,0.5,0.927896795619516,-0.0038561529294063733
121,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.04,361,55.0,485454.1015625,0.4854541015625,0.1666332379918285,2.9133089377180927,4,0.75,6.013474017132979,0.08404643134765374
122,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.05500000000000001,361,56.25,346792.1875,0.34679218749999996,0.20238619301980076,1.71351702567018,4,0.75,4.581458300135749,0.05928201630311886
123,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.07,361,122.5,701618.1640625,0.7016181640625001,0.1362116442249841,5.150941155248227,2,0.5,,0.11615637935332127
124,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.085,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
125,0.1,1,1,1,20,0.049999999999999996,0.06999999999999999,0.1,361,122.5,507430.078125,0.5074300781250001,0.24311325018297936,2.087216874206085,2,0.5,,0.08336899429629835
126,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.01,361,6.2105263157894735,120526.171875,0.12052617187499992,0.20225888993299757,0.5959004912709978,19,0.5263157894736842,1.3051203459547551,0.03132839219797047
127,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.025,361,13.5,-56147.65625,-0.056147656249999955,0.27820375866897995,-0.20182206206928752,10,0.5,0.8665107691850487,-0.009381725011596297
128,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.04,361,54.5,459634.1796875,0.4596341796875001,0.16114603438666253,2.852283529265318,4,0.75,5.746821604416573,0.08011555925111515
129,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.05500000000000001,361,57.0,295758.203125,0.2957582031249999,0.21609386942761255,1.3686561488690145,4,0.75,3.4233746489241677,0.05080495096051075
130,0.1,1,1,1,20,0.049999999999999996,0.08999999999999998,0.07,361,122.0,661226.171875,0.6612261718750001,0.14021964863275926,4.7156456197289245,2,0.5,,0.1099988909864107
